uid	canonical	mapped	weak	sentinel_quote	gold	decision(keep/drop)	note
medbullets::test::0	acute angle-closure glaucoma	1	1	difficulty seeing	Acetazolamide		
medbullets::test::197	acute coronary syndrome	1	0	currently feels crushing pressure over his chest	Repeat ECG in 10 minutes		
medqa::test::521	acute coronary syndrome	1	0	crushing chest pain (10/10 in severity), radiating to the left side of the neck and the left arm	Percutaneous coronary intervention		
medqa::test::566	acute coronary syndrome	1	0	severe, crushing, substernal chest pain 10 hours ago	Left circumflex artery		
medqa::test::799	acute coronary syndrome	1	0	sudden severe and crushing substernal chest pain that started 1 hour ago	Beta-1 adrenergic receptor		
medqa::test::916	acute coronary syndrome	1	0	sudden onset of substernal chest pain	Coronary artery vasospasm		
medqa::test::993	acute coronary syndrome	1	0	severe, crushing, retrosternal chest pain for the last 45 minutes. The pain radiates to his left shoulder and 	Hemoptysis		
medxpertqa-r::test::Text-1667	acute coronary syndrome	1	0	severe, crushing substernal chest pain that began 5 hours ago	Coronary artery thrombosis		
medxpertqa-r::test::Text-363	acute coronary syndrome	1	0	crushing mid-chest pain that extends to his jaw	Obtain intravenous access		
medxpertqa-r::test::Text-844	acute coronary syndrome	1	0	Her ECG demonstrates ST-segment elevation	Calcium channel blockers and nitrates		
medqa::test::1115	acute hemolytic transfusion reaction	1	0	becomes acutely anemic in the setting of underlying infection	Hemolytic transfusion reaction; discontinue transfusion		
medxpertqa-r::test::Text-1151	acute liver failure	1	0	a headache yesterday, for which he took acetaminophen	Accumulation of N-acetyl-p-benzoquinone imine in the liver		
medxpertqa-r::test::Text-610	acute liver failure	1	0	found unconscious next to a bottle of acetaminophen	Previous hypotension		
medxpertqa-r::test::Text-806	acute liver failure	1	0	she ingested approximately fifteen 500 mg tablets about 1 hour before arriving at the hospital	Administer activated charcoal		
medxpertqa-r::test::Text-926	acute liver failure	1	0	AST and ALT levels of approximately 2500 U/L, APAP level of 160 mcg/mL, and INR of 1.7	Involve the patient's husband to guide medical care		
medbullets::test::157	acute stroke	1	0	sudden onset of slurred speech and right upper extremity weakness	Aspirin		
medexqa::test::125_speech_pathologist	acute stroke	1	0	suddenly having slurred speech and reduced sensation in the right side of the lips upon waking up	Amyotrophic lateral sclerosis		
medqa::test::307	acute stroke	1	0	sudden onset of slurred speech ... couldn\u2019t move his arm ... the patient gets increasingly worse and lose	Contact another family member for consent		
medxpertqa-r::test::Text-1953	acute stroke	1	0	acute onset confusion that began one hour ago... suddenly developed slurred speech, confusion, and weakness	Fingerstick blood glucose		
medbullets::test::245	aortic dissection	1	0	The pain starts in his chest and moves into his back, arms, and abdomen. He describes the pain as tearing.	CT angiography of the chest, abdomen, and pelvis		
medqa::test::714	aortic dissection	1	0	suddenly developed excruciating chest pain. He describes the pain as ripping and radiating to the back	Late systolic crescendo murmur at the apex with mid-systolic		
medxpertqa-r::test::Text-1265	aortic dissection	1	0	acute-onset, severe chest pain radiating to his back ... blood pressure differential between arms	Transesophageal echocardiogram		
medxpertqa-r::test::Text-712	aortic dissection	1	0	The pain is described as tearing and burning in nature, radiating to his back.	Contrast esophagography with gastrografin		
medqa::test::1100	bacterial meningitis	1	0	A 2-day-old infant male ... 5-hour history of vomiting and irritability ... he started to become lethargic and	Enlarges hemolytic area of Staphylococcus aureus		
medqa::test::163	bacterial meningitis	1	0	temperature is 38.5
cnuchal rigidity. Kernig and Brudzinski signs are present	Positive latex agglutination test		
medxpertqa-r::test::Text-1087	bacterial meningitis	1	0	fever, headache, and projectile vomiting lasting 6 days. Physical examination reveals neck stiffness	Cryptococcus neoformans		
medxpertqa-r::test::Text-14	bacterial meningitis	1	0	intermittent fevers reaching 39\u103C	Hypothalamic dysfunction		
medxpertqa-r::test::Text-47	bacterial meningitis	1	0	severe headache and fever that began 6 hours ago ... generalized petechial rash on his extremities	Blood culture, lumbar puncture, then administration of antib		
medxpertqa-r::test::Text-702	bacterial meningitis	1	0	2-day history of high fever, headache, and neck stiffness	1 inch lateral and 2 inches superior to the umbilicus		
medxpertqa-r::test::Text-99	bacterial meningitis	1	0	febrile with ... confused ... neck stiffness	Obtain blood cultures, and initiate treatment with vancomyci		
medxpertqa-u::test::Text-1464	bacterial meningitis	1	0	fever, headaches... nuchal rigidity, and photophobia. CSF analysis reveals a neutrophil count of 1,500/mm3	Gram-negative coccobacillus		
medxpertqa-r::test::Text-1031	brain abscess	1	0	headache and numbness with tingling in his left arm that began 2 days ago and has since spread to his left fac	Brain abscess		
medqa::test::446	brugada syndrome	1	0	His father died of sudden cardiac death at the age of 45 years	Headache and tinnitus		
medqa::193	cardiac tamponade	1	0	sudden onset of shortness of breath, substernal chest pain at rest increased by inspiration ... and hypotensio	Cardiac Tamponade		
medqa::test::585	cardiac tamponade	1	0	sudden onset of shortness of breath and substernal chest pain at rest; the pain is increased by inspiration	Cardiac tamponade		
medqa::test::94	cardiac tamponade	1	0	stab wound to the left chest just below the clavicle ... pulse is 135/min ... palpable systolic blood pressure	A drop in systolic blood pressure of 14 mmHg during inspirat		
medxpertqa-r::test::Text-2099	cardiac tamponade	1	0	acute onset of chest pain, dyspnea, diaphoresis, and syncope. She had undergone percutaneous transluminal angi	Immediate transfer to the operating room		
medxpertqa-r::test::Text-503	cardiac tamponade	1	0	He was treated for cardiac tamponade one month ago with pericardiocentesis, during which 300 cc of serosanguin	Referral for surgical subxiphoid pericardiotomy		
medxpertqa-r::test::Text-823	cardiac tamponade	1	0	12 stab wounds across multiple areas of his body	Cardiac tamponade		
medbullets::test::68	central retinal artery occlusion	1	0	sudden-onset, painless vision loss in his right eye starting 2 days ago... felt like a "curtain was pulled dow	Continue aspirin and start statin therapy		
medxpertqa-u::test::Text-1871	compartment syndrome	1	0	supracondylar humerus fracture, which of the following clinical indicators demonstrates the highest sensitivit	increasing analgesia requirement		
medqa::test::868	complete heart block	1	0	His pulse is 48/min	Cardiac pacing		
medqa::test::622	cord compression	1	0	increasing weakness in both legs for 7 days ... decreased muscle strength and clonus in both lower extremities	Presence of immunoglobulin bands on cerebrospinal fluid immu		
medxpertqa-r::test::Text-614	cord compression	1	0	bilateral lower extremity weakness and sustained clonus	Arterial embolization		
medxpertqa-r::test::Text-1471	diabetic ketoacidosis	1	0	his breath has a fruity odor, and his mucous membranes are dry	Initiate potassium infusion		
medxpertqa-r::test::Text-1996	diabetic ketoacidosis	1	0	metformin, and dapagliflozin. She appears lethargic	Metabolic acidosis with respiratory acidosis		
medxpertqa-r::test::Text-2237	diabetic ketoacidosis	1	0	nausea, vomiting, and drowsiness over the past day... confused and lethargic, with a fruity	Normal saline and potassium		
medxpertqa-r::test::Text-2343	diabetic ketoacidosis	1	0	finds him unresponsive ... abdominal pain, nausea, and vomiting for the past 2 days ... drinking plenty of flu	0.9% saline plus 40 mEq/liter potassium chloride		
medxpertqa-r::test::Text-2353	diabetic ketoacidosis	1	0	found unconscious in her bedroom... type 1 diabetes... breathing heavily, appears disoriented	Excessive mobilization of fatty acids		
medxpertqa-r::test::Text-2391	diabetic ketoacidosis	1	0	His medical history includes diabetic nephropathy	Metformin		
medxpertqa-r::test::Text-1988	diffuse alveolar hemorrhage	1	0	episodes of hemoptysis, generalized muscle pain, and dyspnea	Methylprednisolone, plasmapheresis, and cyclophosphamide		
medxpertqa-r::test::Text-96	epiglottitis	1	0	her mother noticed a "funny sound" with her breathing that started this afternoon	Staphylococcus aureus		
medqa::93	esophageal rupture	1	0	persistent, forceful vomiting after consuming a significant amount of alcohol	Boerhaave syndrome		
medxpertqa-r::test::Text-1519	gallstone ileus	1	0	acute, severe abdominal pain accompanied by nausea and vomiting ... chronic cholelithiasis	Calcified iliac fossa mass		
medqa::90	giant cell arteritis	1	0	3-week history of headache and progressively worsening vision	Waldenstrom macroglobulinemia		
